City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Sistranda,NO,75.16,overcast clouds,63.7256,8.834,Hotell Frøya
420,Beian,NO,75.29,scattered clouds,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
423,Lalsot,IN,81.27,heavy intensity rain,26.5667,76.3333,YADAV HOUSE LALSOT
425,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
426,Pochutla,MX,77.85,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
427,Sirjan,IR,88.32,overcast clouds,29.452,55.6814,MAPNA Building
428,Kirakira,SB,77.29,overcast clouds,-10.4544,161.9205,SanBiz Lodge
429,Abonnema,NG,80.91,light rain,4.7084,6.7931,Corper's Lodge Obonoma
430,Sabang,ID,83.66,overcast clouds,5.8933,95.3214,Hotel Citra
433,Alexandria,EG,84.72,clear sky,31.2156,29.9553,Royal Crown Hotel
437,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
440,Louis Trichardt,ZA,75.92,clear sky,-23.0439,29.9032,139 on Munnik Guest House
441,Nisia Floresta,BR,85.01,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
449,High Rock,BS,86.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
450,Hede,CN,75.31,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
452,Hobyo,SO,78.73,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
453,Barcelos,PT,76.28,clear sky,41.5388,-8.6151,Hotel Do Terço
456,Bull Savanna,JM,82.74,clear sky,17.8868,-77.5902,Big Red's
457,Paka,MY,82.33,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
459,Belem,BR,89.64,scattered clouds,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
461,Ha Tinh,VN,87.51,overcast clouds,18.3333,105.9,Phú Quý
464,Ierapetra,GR,87.44,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
465,Miramar,US,90.01,broken clouds,25.9873,-80.2323,Miramar
467,Sulphur Springs,US,80.98,broken clouds,33.1385,-95.6011,Clarion Pointe Sulphur Springs
469,San Policarpo,PH,83.46,overcast clouds,12.1791,125.5072,JM Lodge
472,Mogadishu,SO,77.49,scattered clouds,2.0371,45.3438,Hotel Juba
473,Melchor De Mencos,GT,78.8,clear sky,17.0686,-89.1522,Xultun Farm
475,Nsanje,MW,88.97,clear sky,-16.92,35.262,Nsanje Discovery Lodge
479,Kindu,CD,78.96,light rain,-2.95,25.95,Résidence Okanda
480,Karasjok,NO,77.11,scattered clouds,69.4719,25.5112,Karasjok camping AS
483,Romny,UA,80.53,overcast clouds,50.751,33.4747,Floriana
484,Singapore,SG,82.44,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
485,Vasai,IN,84.29,scattered clouds,19.47,72.8,Go Firne
487,Kamphaeng Phet,TH,80.46,overcast clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
491,Sulangan,PH,85.26,few clouds,11.1373,123.7228,Maia's Beach Resort
493,Bacolod,PH,79.84,clear sky,10.6667,122.95,Planta Hotel & Residences
495,Kusti,SD,93.81,overcast clouds,13.1629,32.6635,فندق الكوباري - Kobari Hotel
497,Seoul,KR,80.04,overcast clouds,37.5683,126.9778,롯데호텔 서울
498,Woodward,US,79.83,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
499,Mana,GF,78.26,overcast clouds,5.6592,-53.7767,LE SAMANA
